tmp/ramdisk.py - bohrium: False, size: 28, elapsed-time: 6.511829
         7139308 function calls (6692348 primitive calls) in 6.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:5038(streamline)
      400    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      6/4    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
       12    0.000    0.000    0.001    0.000 __init__.py:2105(safe_listdir)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
       17    0.000    0.000    0.001    0.000 argparse.py:2480(_get_formatter)
      469    0.000    0.000    0.001    0.000 __init__.py:2644(key)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      922    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       17    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
     2351    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       48    0.000    0.000    0.000    0.000 pyparsing.py:2292(__or__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
      500    0.000    0.000    0.000    0.000 _dill.py:1292(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:2262(declare_namespace)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:21(<module>)
      654    0.000    0.000    0.000    0.000 version.py:74(__lt__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      154    0.000    0.000    0.000    0.000 enum.py:64(__setitem__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 __init__.py:960(Environment)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:178(get_supported_platform)
       48    0.000    0.000    0.000    0.000 pyparsing.py:4236(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(get_build_platform)
      654    0.000    0.000    0.000    0.000 version.py:82(__eq__)
        1    0.000    0.000    0.000    0.000 subprocess.py:10(<module>)
      393    0.000    0.000    0.000    0.000 functools.py:63(wraps)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      434    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 gettext.py:735(gettext)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       11    0.000    0.000    0.000    0.000 posixpath.py:387(realpath)
        6    0.000    0.000    0.000    0.000 gettext.py:660(dgettext)
      477    0.000    0.000    0.000    0.000 __init__.py:2819(__getattr__)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        6    0.000    0.000    0.000    0.000 gettext.py:579(translation)
     1092    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       83    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2414(EntryPoint)
       61    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      221    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        6    0.000    0.000    0.000    0.000 gettext.py:538(find)
     1099    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     1686    0.000    0.000    0.000    0.000 version.py:282(<genexpr>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
      312    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
      184    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     1008    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        4    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      762    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:477(get_distribution)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
    80/60    0.000    0.000    0.000    0.000 pyparsing.py:4086(__str__)
    12/11    0.000    0.000    0.000    0.000 posixpath.py:396(_joinrealpath)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      636    0.000    0.000    0.000    0.000 __init__.py:2352(_normalize_cached)
        6    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      130    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      762    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2828(__init__)
      500    0.000    0.000    0.000    0.000 pickle.py:209(start_framing)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      264    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       26    0.000    0.000    0.000    0.000 core.py:6660(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3153(parse)
        2    0.000    0.000    0.000    0.000 __init__.py:3082(parse_requirements)
      127    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _dill.py:193(get_file_type)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
      245    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 __init__.py:3105(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2414(__call__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      348    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       69    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
      164    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6665(getdoc)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       40    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.000    0.000 enum.py:171(<setcomp>)
        1    0.000    0.000    0.000    0.000 requirements.py:95(__init__)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
       15    0.000    0.000    0.000    0.000 pyparsing.py:1490(_setResultsName)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
  137/102    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     2489    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      500    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 pyparsing.py:3449(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5588(originalTextFor)
        7    0.000    0.000    0.000    0.000 __init__.py:2335(normalize_path)
     1226    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1707    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        6    0.000    0.000    0.000    0.000 argparse.py:1255(__init__)
      158    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
     1741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
      811    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      500    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
     1707    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
     1074    0.000    0.000    0.000    0.000 version.py:314(<genexpr>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:5098(__init__)
      490    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       74    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       25    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      360    0.000    0.000    0.000    0.000 __init__.py:2560(is_version_line)
       17    0.000    0.000    0.000    0.000 shutil.py:1298(get_terminal_size)
      169    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      131    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      248    0.000    0.000    0.000    0.000 enum.py:557(__new__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      110    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       61    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
     1226    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      199    0.000    0.000    0.000    0.000 enum.py:368(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:3007(DistInfoDistribution)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       78    0.000    0.000    0.000    0.000 __init__.py:2903(<listcomp>)
     1021    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
      598    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       60    0.000    0.000    0.000    0.000 __init__.py:1892(has_metadata)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      452    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
      502    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
  179/167    0.000    0.000    0.000    0.000 pyparsing.py:4091(<genexpr>)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        4    0.000    0.000    0.000    0.000 re.py:221(split)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
       64    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
      867    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
        4    0.000    0.000    0.000    0.000 _pyio.py:41(open)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2215(__mul__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       17    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 argparse.py:1767(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1774(parse_known_args)
     2071    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       42    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      410    0.000    0.000    0.000    0.000 pyparsing.py:4283(<genexpr>)
  135/130    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
       75    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      343    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
     1586    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       13    0.000    0.000    0.000    0.000 enum.py:119(__prepare__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 detect.py:8(<module>)
       33    0.000    0.000    0.000    0.000 _pslinux.py:1509(wrap_exceptions)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2270(makeOptionalList)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      196    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 argparse.py:1809(_parse_known_args)
    63/23    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       28    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
     1299    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        3    0.000    0.000    0.000    0.000 _common.py:401(wrapper)
       14    0.000    0.000    0.000    0.000 enum.py:822(__or__)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       51    0.000    0.000    0.000    0.000 posixpath.py:164(islink)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _dill.py:394(Pickler)
       72    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      500    0.000    0.000    0.000    0.000 pickle.py:205(__init__)
    63/23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       28    0.000    0.000    0.000    0.000 pyparsing.py:4841(__init__)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      9/8    0.000    0.000    0.000    0.000 pyparsing.py:4847(parseImpl)
       52    0.000    0.000    0.000    0.000 pyparsing.py:3370(__str__)
        1    0.000    0.000    0.000    0.000 _pslinux.py:267(set_scputimes_ntuple)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       12    0.000    0.000    0.000    0.000 gettext.py:212(_expand_lang)
      110    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1954(consume_positionals)
      529    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        3    0.000    0.000    0.000    0.000 pyparsing.py:3973(_setResultsName)
        1    0.000    0.000    0.000    0.000 source.py:12(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1602(cpu_times)
      662    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      126    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6763(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:18(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 argparse.py:2106(_match_arguments_partial)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 suite_util.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       51    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 __init__.py:2568(Distribution)
      220    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5329(delimitedList)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      404    0.000    0.000    0.000    0.000 pyparsing.py:3882(<genexpr>)
      162    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      110    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      250    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 ast.py:336(NodeVisitor)
       35    0.000    0.000    0.000    0.000 enum.py:473(_get_mixins_)
      820    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        3    0.000    0.000    0.000    0.000 enum.py:785(_missing_)
       13    0.000    0.000    0.000    0.000 enum.py:505(_find_new_)
      135    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
      654    0.000    0.000    0.000    0.000 version.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(MemoizedZipManifests)
      113    0.000    0.000    0.000    0.000 _dill.py:525(_create_typemap)
      246    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        3    0.000    0.000    0.000    0.000 enum.py:792(_create_pseudo_member_)
      126    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
      474    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
      464    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       12    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
      391    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       12    0.000    0.000    0.000    0.000 locale.py:384(normalize)
      173    0.000    0.000    0.000    0.000 pyparsing.py:2587(__eq__)
      134    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       24    0.000    0.000    0.000    0.000 pyparsing.py:3339(parseImpl)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 __init__.py:33(_suite_schema)
      134    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6358(__new__)
        4    0.000    0.000    0.000    0.000 argparse.py:1388(add_argument_group)
    39/37    0.000    0.000    0.000    0.000 pyparsing.py:4506(__str__)
        1    0.000    0.000    0.000    0.000 _pslinux.py:570(per_cpu_times)
      579    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:312(Process)
      154    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 enum.py:864(_decompose)
      221    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
       26    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       17    0.000    0.000    0.000    0.000 argparse.py:1747(_add_action)
       11    0.000    0.000    0.000    0.000 pyparsing.py:4672(__init__)
        4    0.000    0.000    0.000    0.000 _pyio.py:1480(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2176(__radd__)
      119    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       35    0.000    0.000    0.000    0.000 pyparsing.py:3225(__str__)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        4    0.000    0.000    0.000    0.000 argparse.py:1567(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
      154    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
        8    0.000    0.000    0.000    0.000 core.py:7996(__init__)
        3    0.000    0.000    0.000    0.000 _pydecimal.py:3884(__init__)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
      654    0.000    0.000    0.000    0.000 version.py:84(<lambda>)
       23    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fc200d6d9d0}
      110    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
      335    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1567(addParseAction)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _common.py:387(memoize)
       17    0.000    0.000    0.000    0.000 argparse.py:1589(_add_action)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:58(__init__)
      564    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 suite_util.py:11(_script_path)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2434(suppress)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      4/2    0.000    0.000    0.000    0.000 pyparsing.py:4779(parseImpl)
       70    0.000    0.000    0.000    0.000 os.py:748(encode)
      376    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      335    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        8    0.000    0.000    0.000    0.000 pyparsing.py:4775(__init__)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2551(streamline)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
      433    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       79    0.000    0.000    0.000    0.000 __init__.py:669(__iter__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:100(_safe_realpath)
       83    0.000    0.000    0.000    0.000 types.py:171(__get__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       30    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       16    0.000    0.000    0.000    0.000 argparse.py:1478(_get_optional_kwargs)
      864    0.000    0.000    0.000    0.000 __init__.py:2096(__bool__)
        1    0.000    0.000    0.000    0.000 zipfile.py:1954(PyZipFile)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
      409    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       39    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        8    0.000    0.000    0.000    0.000 pyparsing.py:5707(<genexpr>)
       35    0.000    0.000    0.000    0.000 enum.py:484(_find_data_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       17    0.000    0.000    0.000    0.000 argparse.py:586(_format_args)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5705(<lambda>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
      126    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4438(ParseElementEnhance)
       14    0.000    0.000    0.000    0.000 __init__.py:1969(find_distributions)
      171    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1577(addCondition)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        5    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
       90    0.000    0.000    0.000    0.000 pyparsing.py:1628(preParse)
      276    0.000    0.000    0.000    0.000 version.py:346(pre)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
       40    0.000    0.000    0.000    0.000 __init__.py:1904(_warn_on_replacement)
       17    0.000    0.000    0.000    0.000 argparse.py:1398(_add_action)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
      246    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:554(_validate_hash_pyc)
        6    0.000    0.000    0.000    0.000 locale.py:350(_replace_encoding)
      171    0.000    0.000    0.000    0.000 pyparsing.py:2450(setWhitespaceChars)
      171    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:288(conditionAsParseAction)
        3    0.000    0.000    0.000    0.000 enum.py:881(<listcomp>)
